Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,Bracelet Length,Adjustable Length,"7"" Length. Pearl Sizes","7"" Length. Pearl Size",Size,Bolo Chain Max Length,Adjustable String,Bracelet Width,Width,"75"" Thickness",Top Width,Adjustable Chain,Thickness,Top Diameter,Adjustable Bolo Chain. Anchor Length,"5""  Width",Hinged Closure. Width,Size 7. Hinged Closure. Top Width,Hinged Closure. Top Width,Adjustable length,Information,Jewelry_Type,Sex
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Bangle, 1.16 TCW",3697.5,7395.0,14K Gold,Rose,"Round Ruby 0.82, Round Diamond 0.34,7"" Bangle",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Tennis Bracelet, 1.77 TCW",5456.5,7795.0,14K Gold,White,"Round Diamond 1.77,7"" Bracelet",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Bangle, 0.98 TCW",5316.5,7595.0,14K Gold,White,"Round Diamond 0.98,7"" Bangle",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K White Gold Espresso and White Diamond Bangle, 2.13 TCW",5736.5,8195.0,14K Gold,White,"Round Cognac Diamond 1.76, Round Diamond 0.37,7"" Bangle",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Mosaic 14K Yellow Gold Multi Gemstone and Diamond Bangle, 7.92 TCW",4655.0,6650.0,14K Gold,Yellow,"Emerald Cut Multi Color 7.5, Round Diamond 0.42,7"" Bangle",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Bangle, 2.80 TCW",4406.5,6295.0,14K Gold,Yellow,"Round Multi Sapphire 2.48, Round Diamond 0.32,7"" Bangle",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Bracelet, 5.83 TCW",6895.0,9850.0,14K Gold,Yellow,"Marquise Multi Sapphire 5.11, Round Diamond 0.72","7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Classique 14K White Gold Diamond Wrap Bracelet, 1.18 TCW",6226.5,8895.0,14K Gold,White,"Baguette Diamond 1.18,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Bracelet, 3.97 TCW",5775.0,8250.0,14K Gold,Yellow,"Marquise Emerald 3.78, Round Diamond 0.19","7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Yellow Gold Ruby and Diamond Tennis Bracelet, 10.08 TCW",4900.0,9800.0,14K Gold,Yellow,"Round Ruby 9.37, Round Diamond 0.71",,"7""",,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Yellow Gold Ruby and Diamond Tennis Bracelet, 3.85 TCW",3285.0,6570.0,14K Gold,Yellow,"Round Ruby 1.87, Round Diamond 1.98",,"7""",,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K White Gold Diamond Tennis Bracelet, 6.50 TCW",14400.0,28800.0,14K Gold,White,Round Diamond 6.5,,"7""",,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K Yellow Gold Onyx and Diamond Evil Eye Bracelet, 1.34 TCW",945.0,1350.0,14K Gold,Yellow,"Multi Shape Onyx 1.2, Round Diamond 0.14",,,"6""-7""",,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy 14K Yellow Gold Pearl Bracelet,486.5,695.0,14K Gold,Yellow,"Pearl,7"" Bracelet",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Canare 14K White Gold Yellow and White Diamond Bangle, 1.27 TCW",6786.5,9695.0,14K Gold,White,"Round Yellow Diamond 0.45, Round Diamond 0.82,7"" Bangle",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Aurora 14K Yellow Gold Opal and Diamond Bracelet, 4.16 TCW",2026.5,2895.0,14K Gold,Yellow,"Oval Opal 4.1, Round Diamond 0.06","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Rose Gold Diamond Pave Bangle, 1.00 TCW",3747.5,7495.0,14K Gold,Rose,"Round Diamond 1,Size 7",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Yellow Gold Espresso Diamond Pave Bangle, 3.12 TCW",5997.5,11995.0,14K Gold,Yellow,"Round Cognac Diamond 3.12,Size 7",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy 14K Yellow Gold Tahitian Pearl Bracelet,136.5,195.0,14K Gold,Yellow,Round Pearl,,,,5.5mm - 6mm,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy 14K White Gold Cultured Fresh Water Pearl Bracelet,136.5,195.0,14K Gold,White,Round Pearl,,,,,5.5mm,,,,,,,,,,,,,,,,,,Bracelets,Women
"14K Two Tone Gold Blue and White Diamond Crossover Bangle, 2.00 TCW",4025.0,5750.0,14K Gold,Yellow and White,Round Diamond 2,,,,,,"7""",,,,,,,,,,,,,,,,,Bracelets,Women
"14K Two Tone Gold Espresso and White Diamond Crossover Bangle, 2.00 TCW",4375.0,6250.0,14K Gold,Rose and White,Round Diamond 2,,,,,,"7""",,,,,,,,,,,,,,,,,Bracelets,Women
"14K White and Yellow Gold Diamond Crossover Bangle, 2.00 TCW",5215.0,7450.0,14K Gold,Yellow and White,Round Diamond 2,,,,,,"7""",,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K White Gold Tanzanite & Diamond Tennis Bracelet, 14.74 TCW",6370.0,9100.0,14K Gold,White,"Round Tanzanite 14.25, Round Diamond 0.49","6.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K White Gold Multi Sapphire and Diamond Bangle, 6.25 TCW",7350.0,10500.0,14K Gold,White,"Multi Shape Multi Sapphire 5.07, Round Diamond 1.18,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Tanzanite Tennis Bracelet, 18.62 TCW",1956.5,2795.0,Sterling Silver,N/A,Trillion Tanzanite 18.62,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Bracelet, 28.98 TCW",10500.0,21000.0,14K Gold,Yellow,"Oval Multi Sapphire 28.5, Round Diamond 0.48",7.25,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Emerald Tennis Bracelet, 6.99 TCW",626.5,895.0,Sterling Silver,N/A,Oval Emerald 6.99,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy Kidz 14K Yellow Gold Heart Bracelet. 0.01 TCW,400.0,800.0,14K Gold,Yellow,Round Diamond 0.01,,,"5"" - 6.5""",,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Bracelet, 10.05 TCW",26596.5,37995.0,14K Gold,White,Round Diamond 10.05,,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Link Bracelet, 1.52 TCW",4826.5,6895.0,14K Gold,White,Round Diamond 1.52,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Blue Topaz Tennis Bracelet, 9.55 TCW",385.0,550.0,Sterling Silver,N/A,Oval Blue Topaz 9.55,"7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Bangle, 1.38 TCW",4305.0,6150.0,14K Gold,White,Round Diamond 1.38,,,,,,"7""",,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Bangle, 1.42 TCW",4196.5,5995.0,14K Gold,White,Round Diamond 1.42,,,,,,"7""",,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Blue Sapphire Tennis Bracelet, 6.99 TCW",626.5,895.0,Sterling Silver,N/A,Oval Blue Sapphire 6.99,"7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Tanzanite Royale 14K Gold Tanzanite & Diamond Bracelet, 15.90 TCW",21486.5,30695.0,14K Gold,Yellow,"Oval Tanzanite 9.31, Round Diamond 6.59","6.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K Yellow Gold Onyx and Diamond Evil Eye Bracelet, 1.36 TCW",1186.5,1695.0,14K Gold,Yellow,"Round Onyx 1.2, Round Diamond 0.16",,,,,,,"8.5""",,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature Sterling Silver Panther String Bracelet, 0.04 TCW",385.0,550.0,Sterling Silver,N/A,"Round Diamond 0.02, Round Tsavorite 0.02",,,,,,,,"Up to 8""",,,,,,,,,,,,,,,Bracelets,Women
"Effy Duo 14K Two Tone Gold Diamond Crossover Bangle, 3.15 TCW",11550.0,16500.0,14K Gold,Yellow and White,"Multi Shape Diamond 3.15,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy D'Oro 14K Yellow Gold Diamond Bangle, 1.78 TCW",5005.0,7150.0,14K Gold,Yellow,"Round Diamond 1.78,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Mosaic Sterling Silver Multi Gemstone Tennis Bracelet, 9.10 TCW",367.5,525.0,Sterling Silver,N/A,Oval Multi Color 9.1,"7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver & 18K Gold Blue Accented Topaz Bangle, 5.20 TCW",766.5,1095.0,Sterling Silver & 18K Gold,N/A,"Pear Blue Topaz 5.2,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Blue Sapphire Bangle, 11.15 TCW",2147.5,4295.0,Sterling Silver,N/A,Round Blue Sapphire 11.15,,,,,,,,,"1/4""",,,,,,,,,,,,,,Bracelets,Women
"Effy Signature 14K Yellow Gold Diamond and Onyx Bracelet, 138.55 TCW",13996.5,19995.0,14K Gold,Yellow,"Round Onyx 135, Round Diamond 3.55",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Classique 14K White Gold Diamond Tennis Bracelet, 6.20 TCW",18060.0,25800.0,14K Gold,White,Multi Shape Diamond 6.2,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Bracelet, 16.10 TCW",13296.5,18995.0,14K Gold,Yellow,"Emerald Cut Multi Sapphire 14.34, Round Diamond 1.76","7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K White Gold Multi Sapphire Tennis Bracelet, 1.28 TCW",3647.5,7295.0,14K Gold,White,Oval Multi Sapphire 10.28,"7.25""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Bangle, 2.61 TCW",6436.5,9195.0,14K Gold,White,"Oval Tanzanite 1.71, Round Diamond 0.9",,,,,,,,,,"5/8""",,,,,,,,,,,,,Bracelets,Women
"Effy D'Oro 14K Yellow Gold Diamond Two-Of-Us Bangle, 0.39 TCW",3496.5,4995.0,14K Gold,Yellow,"Round Diamond 0.39,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy D'Oro 14K Yellow Gold Diamond Bangle, 1.00 TCW",3916.5,5595.0,14K Gold,Yellow,"Round Diamond 1,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Kidz 14K White Gold Diamond Pave Heart Bracelet, 0.14 TCW",696.5,995.0,14K Gold,White,"Round Diamond 0.14,4""-6"" Adjustable Length",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy D'Oro 14K Yellow Gold Bezel Set Diamond Tennis Bracelet, 3.65 TCW",12596.5,17995.0,14K Gold,Yellow,Round Diamond 3.65,"6.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Tennis Bracelet, 3.53 TCW",9796.5,13995.0,14K Gold,White,Round Diamond 3.53,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Seaside Silver and 18K Gold Blue Topaz Starfish Bangle, 26.80 TCW",1645.0,2350.0,Stainless Steel & 18K Gold,Yellow,Multi Shape Blue Topaz 26.8,,,,,,"7""",,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature 14K Rose Gold Black Diamond & Emerald Bracelet, 0.44 TCW",1297.5,2595.0,14K Gold,Rose,"Round Black Diamond 0.42, Round Emerald 0.02",,,"6"" - 7.25""",,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K White Gold Diamond Crown String Bracelet, 0.12 TCW",766.5,1095.0,14K Gold,White,"Round Diamond 0.12,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K White Gold Diamond Star String Bracelet, 0.18 TCW",976.5,1395.0,14K Gold,White,"Round Diamond 0.18,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Ruby Royale 14K Gold Ruby and Diamond Tennis Bracelet, 15.58 TCW",7097.5,14195.0,14K Gold,Yellow,"Marquise Ruby 14.82, Round Diamond 0.76","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Ruby Royale Sterling Silver Ruby Tennis Bracelet, 6.99 TCW",626.5,895.0,14K Gold,N/A,Oval Ruby 6.99,6,,,,,,,,,,"1/4""",,,,,,,,,,,,Bracelets,Women
"Effy Royale Bleu 14K Gold Sapphire and Diamond Tennis Bracelet, 4.24 TCW",4196.5,5995.0,14K Gold,White,"Round Blue Sapphire 4.12, Round Diamond 0.12","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Royale Bleu 14K Gold Blue Sapphire and Diamond Bracelet, 9.68 TCW",10150.0,14500.0,14K Gold,White,"Square Blue Sapphire 8.55, Square Diamond 1.13",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Splash Sterling Silver Pink Sapphire and Ruby Bangle, 4.24 TCW",976.5,1395.0,Sterling Silver,N/A,"Round Pink Sapphire 4.24,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Splash Sterling Silver Multi Sapphire Bangle, 10.50 TCW",1606.5,2295.0,Sterling Silver,N/A,Round Multi Sapphire 10.5,,,,,,,,,,,,"1/4""",,,,,,,,,,,Bracelets,Women
"Effy Splash Sterling Silver Pink Sapphire and Ruby Bangle, 10.19 TCW",1785.0,2550.0,Sterling Silver,N/A,Round Pink Sapphire 10.19,,,,,,,,,,,,"1/4""",,,,,,,,,,,Bracelets,Women
"Effy Splash Sterling Silver Multi Sapphire Bangle, 9.09 TCW",1396.5,1995.0,Sterling Silver,N/A,Round Multi Sapphire 9.09,,,,,,,,,,,,"3/8""",,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K Gold Turquoise & Diamond Evil Eye Bracelet, 0.64 TCW",1155.0,1650.0,14K Gold,Yellow,"Round Turquoise 0.45, Round Diamond 0.19,Adjustable 8"" Bolo Chain",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Bangle, 4.47 TCW",11060.0,15800.0,14K Gold,White,"Round Blue Diamond 2.67, Round Diamond 1.8",,,,,,,,,,"5/16""",,,,,,,,,,,,,Bracelets,Women
"Effy 14K Yellow Gold Turquoise Station Bracelet, 2.35 TCW",735.0,1050.0,14K Gold,Yellow,Round Turquoise 2.35,"7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Gold Cultured Fresh Water Pearl and Diamond Bracelet, 0.04 TCW",447.5,895.0,14K Gold,Yellow,"Round Pearl, Round Diamond 0.04",,,,,,,,,,,,,"6.5""- 7.25""",,,,,,,,,,Bracelets,Women
"Effy Bouquet 14K White Gold Diamond Tennis Bracelet, 5.03 TCW",11896.5,16995.0,14K Gold,White,Round Diamond 5.03,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Canare 14K Gold Yellow and White Diamond Bangle, 3.40 TCW",12596.5,17995.0,14K Gold,Yellow and White,"Round Yellow Diamond 2.74, Round Diamond 0.66",,,,,,,,,,,,,,"1/4""",,,,,,,,,Bracelets,Women
"Effy 14K Yellow Gold Jade Bracelet, 202.00 TW",346.5,495.0,14K Gold,Yellow,Round Jade 202,"8""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy Signature 14K Rose Gold Diamond Panther Bangle. 1.96 TCW,6825.0,9750.0,14K Gold,Rose,"Round Diamond 1.63, Round Black Diamond 0.35, Round Tsavorite 0.02,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Tennis Bracelet, 9.73 TW",3636.5,5195.0,14K Gold,Yellow,"Oval Multi Sapphire 9.62, Round Diamond 0.11","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Seaside 14K White Gold Diamond Whale's Tail Bangle, 0.46 TCW",2597.5,5195.0,14K Gold,White,"Round Diamond 0.46,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Rose Gold Multi Tourmaline and Diamond Tennis Bracelet, 11.52 TCW",3675.0,5250.0,14K Gold,Rose,"Oval Tourmaline 11.35, Round Diamond 0.17","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Diamond Bangle, 0.50 TCW",495.0,995.0,Sterling Silver,N/A,"Round Diamond 0.5,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
