Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,Hoop Size,"Height 3/8"" x Length",Diameter,Earring,Drop Length,Earring Size,Stud Size,Top Diameter,Diamater,Gemstones, Length,Earring size,Information,"75"" Pearl Size","5"" Pearl Size", Widest Part, Stone included,"25"" Diameter",Earring Diameter,Earring Length,Pearl Size, Lapis Size, Drop Length, Onyx Size,Flower Diameter,Height,Screw Backs. Earring Diameter,Jewelry_Type,Sex
"Effy D'Oro 14K Yellow Gold Diamond V Maze Earrings, 1.03 TCW",2847.5,5695.0,14K Gold,Yellow,Round Diamond 1.03,"1.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Classica 14K White Gold Diamond Triangles Earrings, 0.59 TCW",1947.5,3895.0,14K Gold,White,Round Diamond 0.59,"1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Earrings, 1.03 TCW",3706.5,5295.0,14K Gold,White,Round Diamond 1.03,"2.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Classique 14K White Gold Diamond Stud Earrings, 0.48 TCW",2415.0,3450.0,14K Gold,White,Multi Shape Diamond 0.48,"5/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bouquet 14K White Gold Diamond Cluster Drop Earrings, 0.50 TCW",2306.5,3295.0,14K Gold,White,Round Diamond 0.5,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Duo 14K Yellow and White Gold Diamond Earrings, 0.31 TCW",1676.5,2395.0,14K Gold,Yellow and White,Round Diamond 0.31,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Stud Earrings, 1.11 TCW",1676.5,2395.0,14K Gold,White,"Emerald Cut Emerald 0.95, Round Diamond 0.16","5/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Royale Bleu 14K White Gold Blue Sapphire & Diamond Earrings, 5.21 TCW",3986.5,5695.0,14K Gold,White,"Multi Shape Blue Sapphire 4.84, Round Diamond 0.37","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K White Gold Trillion Tanzanite and Diamond Earrings, 1.62 TCW",2656.5,3795.0,14K Gold,White,"Trillion Tanzanite 1.33, Round Diamond 0.29","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver & 18K Gold Accented Diamond Earrings, 0.22 TCW",805.0,1150.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.22,"7/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bouquet 14K White Gold Diamond Cluster Stud Earrings, 0.93 TCW",2306.5,3295.0,14K Gold,White,Round Diamond 0.93,,,,"5/16""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Earrings, 0.69 TCW",3010.0,4300.0,14K Gold,Yellow,Round Diamond 0.69,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Earrings, 0.76 TCW",2306.5,3295.0,14K Gold,Yellow,Multi Shape Diamond 0.76,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 2.88 TCW",3356.5,4795.0,14K Gold,Yellow,"Multi Shape Emerald 2.33, Round Diamond 0.55","1.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Espresso 14K Rose Gold Cognac and White Earrings, 0.52 TCW",1886.5,2695.0,14K Gold,Rose,Round Diamond 0.52,"9/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K White Gold Tanzanite and Diamond Earrings, 1.96 TCW",1956.5,2795.0,14K Gold,White,"Round Tanzanite 1.71, Round Diamond 0.25","3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Earrings, 11.67 TCW",1575.0,2250.0,14K Gold,Yellow,"Pear Onyx 11.29, Round Diamond 0.38","1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Classique 14K White Gold Diamond Earrings, 0.76 TCW",2306.5,3295.0,14K Gold,White,"Baguette Diamond 0.57, Round Diamond 0.19,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Earrings, 0.58 TCW",2415.0,3450.0,14K Gold,White,Round Diamond 0.58,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 2.51 TCW",2306.5,3295.0,14K Gold,Yellow,"Emerald Cut Emerald 1.9, Round Diamond 0.61","7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Seaside 14K Yellow Gold Diamond Starfish Earrings, 0.18 TCW",836.5,1195.0,14K Gold,Yellow,Round Diamond 0.18,,,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Duo 14K Yellow and White Gold Diamond Earrings, 1.63 TCW",5316.5,7595.0,14K Gold,Yellow and White,Round Diamond 1.63,"3.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Earrings, 4.47 TCW",2726.5,3895.0,14K Gold,White,"Multi Shape Multi Sapphire 4.12, Round Diamond 0.35","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K White Gold Tanzanite and Diamond Earrings, 4.14 TCW",3395.0,4650.0,14K Gold,White,"Oval Tanzanite 3.8, Round Diamond 0.34","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bella Bleu 14K Rose Gold Blue and White Diamond Earrings, 1.30 TCW",3146.5,4495.0,14K Gold,Rose,Round Diamond 1.3,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bouquet 14K White Gold Diamond Cluster Earrings, 0.84 TCW",3496.5,4995.0,14K Gold,White,Round Diamond 0.84,,,,"5/16""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Royale Bleu 14K White Gold Blue Sapphire & Diamond Earrings, 0.62 TCW",2205.0,3150.0,14K Gold,White,"Round Blue Sapphire 0.38, Round Diamond 0.24","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Blush 14K Rose Gold Morganite and Diamond Earrings, 4.18 TCW",2096.5,2995.0,14K Gold,Rose,"Oval Morganite 3.8, Round Diamond 0.38","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Signature 14K White Gold Emerald & Diamond Panther Earrings, 1.17 TCW",3575.0,7150.0,14K Gold,White,"Round Diamond 1.09, Round Emerald 0.08","7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Earrings, 1.90 TCW",2625.0,3750.0,14K Gold,Rose,"Baguette Ruby 1.52, Round Diamond 0.38","9/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bouquet 14K White Gold Diamond Cluster Stud Earrings, 0.50 TCW",795.0,1600.0,14K Gold,White,Round Diamond 0.5,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Earrings, 1.16 TCW",2097.5,4195.0,14K Gold,White,Round Diamond 1.16,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Signature 14K Rose Gold Diamond and Tsavorite Garnet Earrings, 0.31 TCW",1700.0,3400.0,14K Gold,Rose,"Round Diamond 0.23, Round Tsavorite 0.08","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy 925 Classic Sterling Silver and 18K Yellow Gold Earrings,486.5,695.0,Sterling Silver & 18K Gold,Yellow,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Rose Gold Black, Espresso and White Diamond Earrings",2726.5,3895.0,14K Gold,Rose,Round Diamond 0.69,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Signature 14K Rose Gold Diamond & Emerald Earrings, 0.65 TCW",1732.5,3465.0,14K Gold,Rose,"Round Diamond 0.6, Round Emerald 0.05","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver and 18K Yellow Gold Diamond Earrings, 0.12 TCW",595.0,850.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.12,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Earrings, 5.13 TCW",3846.5,5495.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 4.18, Round Diamond 0.95","1.38""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Espresso 14K Rose Gold Cognac & White Diamond Earrings,6997.5,13995.0,14K Gold,Rose,"Round Diamond 4.88,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Nature 14K Yellow Gold Cognac & White Diamond Butterfly Earrings, 0.57 TCW",1746.5,2495.0,14K Gold,Yellow,"Round Diamond 0.57,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K Yellow Gold Ruby and Diamond Huggie Earrings, 1.76 TCW",1816.5,2595.0,14K Gold,Yellow,"Square Ruby 1.6, Round Diamond 0.16","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Earrings, 3.34 TCW",5997.5,11995.0,14K Gold,White,"Rectangle Emerald 1.9, Round Diamond 1.44","2.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Espresso 14K Rose Gold Cognac and White Diamond Earrings, .64 TCW",2026.5,2895.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Earrings,3426.5,4895.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 5.21, Round Diamond 0.44","1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bella Bleu 14K Rose Gold Blue and White Diamond Earrings, 0.58 TCW",2415.0,3450.0,14K Gold,Rose,"Round Blue Diamond, Round Diamond ","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Signature 14K Rose Gold Diamond and Emerald Earrings, 0.81 TCW",3356.5,4795.0,14K Gold,Rose,"Round Diamond 0.79, Round Emerald 0.02","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Starfish Earrings, 3.00 TCW",1995.0,3450.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 2.49, Round Diamond 0.51","1.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Earrings, 1.76 TCW",1610.0,2300.0,14K Gold,Yellow,"Square Multi Sapphire 1.6, Round Diamond 0.16","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Multi Sapphire Splash Starfish Earrings, 2.35 TCW",525.0,750.0,Sterling Silver,N/A,"Round Multi Sapphire 2.35,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 14K Two-Tone Gold White & Yellow Diamond Earrings, 2.07 TCW",6716.5,9595.0,14K Gold,Yellow and White,"Round Yellow Diamond 1.4, Round Diamond 0.67,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Signature 14K White Gold Diamond and Emerald Earrings, 0.89 TCW",3356.5,4795.0,14K Gold,White,"Round Diamond, Round Black Diamond , Round Emerald 0.07,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy 925 Sterling Silver & 18K Gold Cultured Pearl Earrings,332.5,475.0,Sterling Silver,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Espresso 14K Rose Gold Cognac & White Diamond Leaf Earrings, 1.05 TCW",3006.5,4295.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ","1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Espresso 14K Rose Gold Cognac & White Diamond Earrings, 1.3 TCW",3146.5,4495.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ","1.2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Classica 14K Rose Gold Diamond Earrings, 0.38 TCW",1295.0,1850.0,14K Gold,Rose,Round Diamond 0.38,,,,"5/16""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy 14K Yellow Gold Fresh Water Cultured Pearl Earrings,175.0,250.0,14K Gold,Yellow,"Pearl,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Pink Sapphire Splash Stud Earrings, 2.45 TCW",437.5,625.0,Sterling Silver,N/A,Round Pink Sapphire 2.45,,,,"Approx 5/16""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Pink Sapphire Splash Small Hoop Earrings, 1.80 TCW",295.0,,Sterling Silver,N/A,Round Pink Sapphire 1.8,,,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Earrings, 1.30 TCW",3076.5,4395.0,14K Gold,White,"Round Black Diamond, Round Diamond ","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Seaside Sterling Silver Blue Sapphire Starfish Earrings, 2.40 TCW",525.0,750.0,Sterling Silver,N/A,"Round Blue Sapphire 2.4,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Splash Ruby & Pink Sapphire Starfish Earrings, 2.35 TCW",525.0,750.0,Sterling Silver,N/A,"Round Ruby 2.24, Round Pink Sapphire ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Earrings, 0.92 TCW",1956.5,2795.0,14K Gold,White,"Round Diamond 0.92, Round Black Diamond ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Signature 14K Rose Gold Diamond and Emerald Earrings, 0.80 TCW",3916.5,5595.0,14K Gold,Rose,"Round Diamond 0.74, Round Emerald 0.06, Round Black Diamond ","1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Earrings, 5.08 TCW",2397.5,4795.0,14K Gold,Yellow,"Round Diamond 0.49, Multi Shape Multi Sapphire 4.59,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Splash Sterling Silver Multi Color Sapphire Ball Earrings, 2.20 TCW",385.0,550.0,Sterling Silver,N/A,"Round Multi Sapphire 2.2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Flower Earrings, 2.68 TCW",7497.5,14995.0,14K Gold,White,"Round Diamond 2.68, Round Black Diamond ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 1.78 TCW",2236.5,3195.0,14K Gold,Yellow,"Oval Emerald 1.52, Round Diamond 0.26","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Gemma Royalty Sapphire and Diamond Earrings, 3.54 TCW",3006.5,4295.0,14K Gold,White,"Oval Blue Sapphire 2.85, Round Diamond 0.69,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K White Gold Blue Sapphire Stud Earrings, 1.14 TCW",455.0,650.0,14K Gold,White,"Round Blue Sapphire,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Earrings, 1.35 TCW",2497.5,4995.0,14K Gold,White,Round Diamond 1.35,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Earrings, 1.05 TCW",2796.5,3995.0,14K Gold,White,"Round Diamond 1.05, Round Black Diamond ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Signature 14K Rose Gold Diamond and Emerald Earrings, 0.89 TCW",3356.5,4795.0,14K Gold,Rose,"Round Diamond 0.82, Round Black Diamond , Round Emerald 0.07,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Royale Bleu 14K White Gold Sapphire Stud Earrings, 2.00 TCW",906.5,1295.0,14K Gold,White,"Round Blue Sapphire 2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Trio 14K Tri Color Diamond Earrings, .52 TCW",2726.5,3895.0,14K Gold,Three Tone,"Round Diamond 0.52,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Earrings, .71 TCW",2796.5,3995.0,14K Gold,White,"Round Black Diamond, Round Diamond ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Espresso 14K Rose Gold Cognac and White Diamond Earrings, .71 TCW",2446.5,3495.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K Rose Gold Natural Ruby and Diamond Earrings, 3.21 TCW",4896.5,6995.0,14K Gold,Rose,"Multi Shape Ruby 2.2, Round Diamond 1.01,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Maze Earrings, 1.35 TCW",3496.5,4995.0,14K Gold,Yellow,"Diamond 1.35,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Earrings, 1.30 TCW",3146.5,4495.0,14K Gold,White,"Diamond 1.3,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Earrings, 3.98 TCW",2695.0,3850.0,14K Gold,Yellow,"Round Diamond 0.28, Multi Shape Multi Sapphire 3.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Espresso 14K Yellow Gold Cognac and White Diamond Earrings, .92 TCW",1525.0,3050.0,14K Gold,Yellow,"Round Diamond,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K White Gold Sapphire & Diamond Earrings, 1.76 TCW",1610.0,2300.0,14K Gold,White,"Round Diamond 0.16, Princess Sapphire 1.6","1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Diamond Flower Earrings, 1.38 TCW",4170.0,8340.0,14K Gold,Yellow,"Diamond 1.38,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Gemma Royalty Sapphire and Diamond Earrings, 0.89 TCW",1046.5,1495.0,14K Gold,White,"Round Diamond 0.24, Round Sapphire 0.65,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K Yellow Gold Ruby and Diamond Stud Earrings, 0.89 TCW",1046.5,1495.0,14K Gold,Yellow,"Round Ruby 0.65, Round Diamond 0.24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy 925 Splash Sapphire Heart Earrings,525.0,750.0,Sterling Silver,N/A,"Sapphire 2.15,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Blue and White Sapphire Splash Earrings, 2.24 TCW",556.5,795.0,Sterling Silver,N/A,"Sapphire 2.24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Multi Sapphire Splash Huggie Hoop Earrings, 2.29 TCW",556.5,795.0,Sterling Silver,N/A,"Round Sapphire 2.29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver & 18K Gold Multi Gemstone Earrings, 1.28 TCW",346.5,495.0,Sterling Silver & 18K Gold,Yellow,"Multi Color 1.28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Tri-Color Gold Diamond Flower Earrings, 1.87 TCW",5075.0,7250.0,14K Gold,Three Tone,"Round Diamond 1.87,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Yellow Gold Sapphire & Diamond Earrings, 3.01 TCW",2450.0,3500.0,14K Gold,Yellow,"Round Diamond 0.24, Multi Shape Multi Color 2.77,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Earrings, 3.01 TCW",2450.0,3500.0,14K Gold,White,"Round Diamond 0.24, Multi Shape Multi Sapphire 2.77,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Seaside 14K White Gold Sapphire & Diamond Starfish Earrings, 2.97 TCW",2516.5,3595.0,14K Gold,White,"Round Diamond 0.24, Multi Shape Sapphire 2.73,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Filigree Earrings, 0.21 TCW",2096.5,2995.0,14K Gold,Yellow,"Diamond 0.21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ocean Bleu 14K Yellow Gold Blue Topaz and Diamond Earrings, 25.54 TCW",2275.0,3250.0,14K Gold,Yellow,"Oval Blue Topaz 25.45, Round Diamond 0.09,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Cultured Fresh Water Pearl & Diamond Fringe Earrings, 0.12 TCW",805.0,1150.0,14K Gold,Yellow,"Round Pearl, Round Diamond 0.12",2,,,,,,,,,,,,,,5mm,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Cultured Fresh Water Pearl and Diamond Earrings, 0.34 TCW",1295.0,1850.0,14K Gold,Yellow,"Round Pearl, Round Diamond 0.34",1,,,,,,,,,,,,,,,5mm,,,,,,,,,,,,,Earrings,Women
"Effy Royale Bleu 14K Gold Sapphire and Diamond Hoop Earrings, 1.76 TCW",1925.0,2750.0,14K Gold,White,"Round Diamond 0.16, Princess Sapphire 1.6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Rose Gold Espresso, Black and White Diamond Earrings, 1.60 TCW",3497.5,6995.0,14K Gold,Rose,Round Diamond 1.6,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Rose Gold Espresso and White Diamond Earrings, 1.16 TCW",2247.5,4495.0,14K Gold,Rose,"Round Cognac Diamond 0.97, Round Diamond 0.19",,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Hoop Earrings, 2.04 TCW",4497.5,8995.0,14K Gold,White,"Round Black Diamond 2.4, Round Diamond 1.64,1"" Hoop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Earrings, 6.38 TCW",1116.5,1595.0,14K Gold,Yellow,"Marquise Onyx 6.1, Round Black Diamond 0.28","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Aurora 14K Yellow Gold Opal and Diamond Earrings, 1.73 TCW",1575.0,2250.0,14K Gold,Yellow,"Oval Opal 1.4, Round Diamond 0.33","1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Earring, 8.83 TCW",1295.0,1850.0,14K Gold,Yellow,"Oval Onyx 8.7, Round Diamond 0.13","1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy Espresso 14K Yellow Gold Cognac and White Diamond Earrings,3302.5,6605.0,14K Gold,Yellow,"Round Diamond 0.7, Round Cognac Diamond 0.75","1.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Espresso, Black and White Diamond Earrings, 1.26 TCW",3496.5,4995.0,14K Gold,Yellow,Round Diamond 1.26,"1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
