Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,Hoop Size,"Height 3/8"" x Length",Diameter,Earring,Drop Length,Earring Size,Stud Size,Top Diameter,Diamater,Gemstones, Length,Earring size,Information,"75"" Pearl Size","5"" Pearl Size", Widest Part, Stone included,"25"" Diameter",Earring Diameter,Earring Length,Pearl Size, Lapis Size, Drop Length, Onyx Size,Flower Diameter,Height,Screw Backs. Earring Diameter,Jewelry_Type,Sex
"Effy Seaside 14K Gold Sapphire & Diamond Whale's Tail Earrings, 1.32 TCW",2096.5,2995.0,14K Gold,White,"Round Blue Sapphire 0.93, Round Diamond 0.39","1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 2.28 TCW",2347.5,4695.0,14K Gold,Yellow,"Emerald Cut Emerald 1.9, Round Diamond 0.38","1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Hoop Earrings, 1.07 TCW",1495.0,2595.0,14K Gold,White,"Round Emerald 0.68, Round Diamond 0.39,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Espresso 14K Yellow Gold Cognac and White Diamond Earrings, 0.94 TCW",2207.5,4415.0,14K Gold,Yellow,Round Diamond 0.94,"1.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Trio 14K Tri Color Gold Diamond Earrings, 0.55 TCW",2306.5,3295.0,14K Gold,Three Tone,Round Diamond 0.55,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K White Gold Blue Sapphire and Diamond Earrings, 2.43 TCW",2656.5,3795.0,14K Gold,White,"Round Blue Sapphire 2.07, Round Diamond 0.36","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Classica 14K White Gold Diamond Heart Earrings, 0.48 TCW",1855.0,2650.0,14K Gold,White,Round Diamond 0.48,"1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Mosaic 14K Yellow Gold Multi Gemstone and Diamond Earrings, 5.56 TCW",1200.0,2400.0,14K Gold,Yellow,"Multi Shape Multi Color 5.5, Round Diamond 0.06","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Earrings, 2.25 TCW",7696.5,10995.0,14K Gold,Yellow,Round Diamond 2.25,"1""",,,,,,,,,,,,,,,,"3/4""",,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Yellow and White Diamond Earrings, 0.93 TCW",2997.5,5995.0,14K Gold,White,Round Diamond 0.93,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire Hoop Earrings, 6.42 TCW",3356.5,4795.0,14K Gold,Yellow,Emerald Cut Multi Sapphire 6.42,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Rose 14K Rose Gold Diamond Hoop Earrings, 0.34 TCW",2065.0,2950.0,14K Gold,Rose,Round Diamond 0.34,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Stud Earrings, 2.37 TCW",2446.5,3495.0,14K Gold,Yellow,"Oval Ruby 1.9, Round Diamond 0.47,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Nature 14K Rose Gold Ruby and Diamond Flower Earrings, 2.28 TCW",2096.5,2995.0,14K Gold,Rose,"Pear Ruby 2, Round Diamond 0.28","1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Mosaic 14K Yellow Gold Multi Gemstone and Diamond Earrings, 5.51 TCW",2306.5,3295.0,14K Gold,Yellow,"Emerald Cut Multi Color 5.25, Round Diamond 0.26","1""",,,,,,,,,,,,,,,,,"Amethyst, Blue Topaz, Peridot, Citrine and Garnet",,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Earrings, 2.48 TCW",2306.5,3295.0,14K Gold,Yellow,"Emerald Cut Multi Sapphire 2.15, Round Diamond 0.33","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Royale Bleu 14K White Gold Blue Sapphire Stud Earrings, 1.14 TCW",836.5,1195.0,14K Gold,White,Round Blue Sapphire 1.14,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Cultured Fresh Water Pearl & Diamond Earrings, 0.21 TCW",1365.0,1950.0,14K Gold,White,"Round Pearl, Round Diamond 0.21","1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire Circle Pendant, 5.09 TCW",1997.5,3995.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 5.04, Round Diamond 0.05,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Earrings, 2.13 TC",2236.5,3195.0,14K Gold,Yellow,"Square Multi Sapphire 1.9, Round Diamond 0.23","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Tanzanite Royale 14K Gold Tanzanite & Diamond Hoop Earrings, 2.43 TCW",2485.0,3550.0,14K Gold,White,"Trillion Tanzanite 2.28, Round Diamond 0.15,3/4"" Hoop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Classica 14K White Gold Diamond Huggie Hoop Earrings, 1.15 TCW",3706.5,5295.0,14K Gold,White,"Round Diamond 1.15,1/2"" Length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Earrings, 0.99 TCW",5596.5,7995.0,18K Gold,Yellow and White,"Multi Shape Yellow Diamond 0.99,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Classica 14K White Gold Diamond Stud Earrings, 0.35 TCW",1365.0,1950.0,14K Gold,White,"Round Diamond 0.35,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Kidz 14K Yellow Gold Black and White Diamond Turtle Earrings, 0.15 TCW",525.0,1050.0,14K Gold,Yellow,"Round Diamond 0.15,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Aquarius 14K White Gold Aquamarine and Diamond Earrings, 0.88 TCW",805.0,1150.0,14K Gold,White,"Round Aquamarine 0.76, Round Diamond 0.12","5/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Earrings, 6.30 TCW",2597.5,5195.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 6.15, Round Diamond 0.15",1,,,,,,,,,,,,,,,,,,"3/4""",,,,,,,,,,Earrings,Women
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Drop Earrings, 11.53 TCW",1396.5,1995.0,14K Gold,Yellow,"Marquise Onyx 11.33, Round Diamond 0.2","1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Stud Earrings, 1.91 TCW",1785.0,2550.0,14K Gold,White,"Round Tanzanite 1.71, Round Diamond 0.2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Blush 14K Rose Gold Morganite and Diamond Earrings, 1.49 TCW",1046.5,1495.0,14K Gold,Rose,"Oval Morganite 1.4, Round Diamond 0.09","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Amethyst Earrings, 4.80 TCW",385.0,550.0,Sterling Silver,N/A,"Cushion Amethyst 4.8,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Stud Earrings, 1.04 TCW",695.0,1450.0,14K Gold,White,"Round Tanzanite 0.91, Round Diamond 0.13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bouquet 14K White Gold Diamond Cluster Stud Earrings, 1.14 TCW",4896.5,6995.0,14K Gold,White,Round Diamond 1.14,,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Tanzanite Royale Sterling Silver Tanzanite and Diamond Earrings, 1.87 TCW",867.5,1735.0,Sterling Silver,N/A,"Oval Tanzanite 1.62, Round Diamond 0.25,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Kidz 14K Rose Gold Diamond Heart Earrings, 0.17 TCW",525.0,1050.0,14K Gold,Rose,"Round Diamond 0.17,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bouquet 14K White Gold Diamond Halo Cluster Earrings, 0.63 TCW",2147.5,4295.0,14K Gold,White,Round Diamond 0.63,,,,"5/16""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver & 18K Gold Accented Diamond Earrings, 0.42 TCW",1155.0,1650.0,Sterling Silver & 18K Gold,N/A,Round Diamond 0.42,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"14K 2-Tone Gold Espresso & White Diamond Crossover Hoop Earrings, 1.00 TCW",2096.5,2995.0,14K Gold,Rose and White,Round Diamond 1,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Earrings,4970.0,7100.0,14K Gold,Yellow,"Oval Multi Sapphire 9.4, Round Diamond 0.11","2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Royale Bleu 14K White Gold Blue Sapphire & Diamond Earrings, 0.33 TCW",1116.5,1595.0,14K Gold,White,"Round Blue Sapphire 0.22, Round Diamond 0.11","1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Signature 14K Yellow Gold Emerald and Diamond Earrings, 3.27 TCW",3006.5,4295.0,14K Gold,Yellow,"Round Emerald 0.99, Round Diamond 0.74","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Vertical Earrings, 0.35 TCW",1470.0,2100.0,14K Gold,Yellow,Round Diamond 0.35,"2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"14K White and Yellow Gold Diamond Crossover Hoop Earrings, 1.00 TCW",2306.5,3295.0,14K Gold,Yellow and White,Round Diamond 1,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 14K White Gold Yellow and White Diamond Stud Earrings, 0.84 TCW",4126.5,5895.0,14K Gold,White,"Cushion Yellow Diamond 0.72, Round Diamond 0.12",,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bouquet 14K White Gold Diamond Stud Earrings, 0.98 TCW",3925.0,7850.0,14K Gold,White,Diamond 0.98,,,,,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Palm Tree Earrings, 2.58 TCW",2075.0,4150.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 2.07, Round Diamond 0.51","1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bouquet 14K White Gold Diamond Drop Earrings, 1.29 TCW",3955.0,5650.0,14K Gold,White,Round Diamond 1.29,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 14K Yellow Gold Yellow Diamond Cluster Earrings, 1.41 TCW",5246.5,7495.0,14K Gold,Yellow,Round Yellow Diamond 1.41,,,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 14K Yellow Gold Yellow Diamond Hoop Earrings, 0.57 TCW",2376.5,3395.0,14K Gold,Yellow,Round Yellow Diamond 0.57,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Mosaic Sterling Silver & 18K Gold Multi Sapphire Earrings, 1.16 TCW",906.5,1295.0,Sterling Silver & 18K Gold,Yellow,Round Multi Sapphire 1.6,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Tanzanite Royale Sterling Silver Tanzanite Stud Earrings, 1.90 TCW",836.5,1195.0,Sterling Silver,N/A,Cushion Tanzanite 1.9,,,,,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Mosaic Sterling Silver & 18K Gold Multi Sapphire Earrings, 1.15 TCW",766.5,1095.0,Sterling Silver & 18K Gold,N/A,Round Multi Sapphire 1.15,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver & 18K Gold Diamond Earrings, 0.29 TCW",712.5,1425.0,Sterling Silver & 18K Gold,N/A,Round Diamond 0.29,,,,,,,,,,,,,,,,,,,,"5/8""",,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Wave Hoop Earrings, 0.25 TCW",1956.5,2795.0,14K Gold,Yellow,Round Diamond 0.25,,,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Blue Sapphire Splash 1/2"" Hoop Earrings, 1.77 TCW",295.0,,Sterling Silver,N/A,Round Blue Sapphire 1.77,,,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy 925 Sterling Silver and 18K Yellow Gold Earrings,346.5,495.0,Sterling Silver & 18K Gold,Yellow,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Vertical Earrings, 0.29 TCW",1365.0,1950.0,14K Gold,Yellow,Round Diamond 0.29,"1.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Diamond Hoop Earrings, 0.24 TCW",315.0,450.0,Sterling Silver,N/A,Round Diamond 0.24,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 S. Silver Cushion Onyx Earrings, 17.40 TCW",315.0,450.0,Sterling Silver,N/A,Cushion Onyx 17.4,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Onyx and Diamond Earrings, 3.49 TCW",297.5,425.0,Sterling Silver,N/A,"Cushion Onyx 3.45, Round Diamond 0.04","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Signature Sterling Silver Diamond and Tsavorite Panther Stud Earrings, 0.16 TCW",486.5,695.0,Sterling Silver,N/A,"Round Diamond 0.11, Round Tsavorite 0.05",,,,,,,"5/8""",,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver & 18K Yellow Gold Diamond Earrings, 0.36 TCW",747.5,1495.0,Sterling Silver & 14K Gold,Yellow,Round Diamond 0.36,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Balissima Sterling Silver Mix Stone Earrings, 14.80 TCW",1675.0,3350.0,Sterling Silver,N/A,"Multi Shape Rhodolite Garnet, Multi Shape Pink Tourmaline ","2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Classica 14K White Gold Diamond Earrings, 4.60 TCW",8997.5,17995.0,14K Gold,White,Round Diamond 4.6,"2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Studs, 0.98 TCW",647.5,1295.0,14K Gold,White,"Round Tanzanite 0.86, Round Diamond 0.12,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K Rose Gold Tanzanite and Diamond Earrings, 3.69 TCW",3487.5,6975.0,14K Gold,Rose,"Cushion Tanzanite 3.33, Round Diamond 0.36","7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Huggie-Hoop Earrings, 0.21 TCW",1825.0,3650.0,14K Gold,Yellow,Round Diamond 0.21,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Sterling Silver Tanzanite and Diamond Earrings, 2.06 TCW",892.5,1785.0,Sterling Silver,N/A,"Cushion Tanzanite 1.9, Round Diamond 0.16","5/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Kidz 14K Yellow Gold Diamond Accented Butterfly Earrings, 0.03 TCW",397.5,795.0,14K Gold,Yellow,"Round Diamond 0.03,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Tanzanite Royale 14K Rose Gold Tanzanite & Diamond Earrings, 3.10 TCW",3097.5,6195.0,14K Gold,Rose,"Rectangle Tanzanite 2.76, Round Diamond 0.34","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Classica 14K White Gold Diamond Halo Stud Earrings, 0.49 TCW",1387.5,2775.0,14K Gold,White,"Round Diamond 0.49,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bella Bleu 14K White Gold Blue Diamond Stud Earrings, 0.28 TCW",725.0,1450.0,14K Gold,White,"Round Blue Diamond 0.24, Round Diamond 0.04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite & Diamond Earrings, 0.88 TCW",647.5,1295.0,14K Gold,White,"Round Tanzanite 0.76, Round Diamond 0.12,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 2.18 TCW",2397.5,4795.0,14K Gold,Yellow,"Emerald Cut Emerald 1.9, Round Diamond 0.28","1.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Diamond Drop Earrings, 1.50 TCW",2797.5,5595.0,14K Gold,Yellow,Round Diamond 1.5,"1.7""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K Yellow Gold Emerald and Diamond Earrings, 6.92 TCW",6497.5,12995.0,14K Gold,Yellow,"Multi Shape Emerald 5.66, Round Diamond 1.26","1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Confetti 14K Gold Black, Espresso & White Diamond Earrings, 1.51 TCW",3350.0,6700.0,14K Gold,Rose,Round Diamond 1.51,"2.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 2.66 TCW",2997.5,5995.0,14K Gold,Yellow,"Emerald Cut Emerald 1.9, Multi Shape Diamond 0.76,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ruby Royale 14K Yellow Gold Ruby Stud Earrings, 2.00 TCW",1425.0,2850.0,14K Gold,Yellow,"Round Ruby 2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Classica 14K White Gold Diamond Stud Earrings, 0.31 TCW",825.0,1650.0,14K Gold,White,"Round Diamond 0.31,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Blush 14K Rose Gold Morganite and Diamond Heart Earrings, 1.87 TCW",1225.0,1750.0,14K Gold,Rose,"Heart Morganite 1.7, Round Diamond 0.17","1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ruby Royale 14K Yellow Gold Ruby Stud Earrings, 1.14 TCW",525.0,750.0,14K Gold,Yellow,"Round Ruby 1.14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 18K Two Tone Gold Yellow and White Diamond Earrings, 0.76 TCW",4756.5,6795.0,18K Gold,Yellow and White,Multi Shape Diamond 0.76,,,,,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Classica 14K White Gold Diamond Earrings, 1.87 TCW",6296.5,8995.0,14K Gold,White,Round Diamond 1.87,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 18K Two Tone Gold Yellow and White Diamond Earrings, 0.54 TCW",4196.5,5995.0,18K Gold,Yellow and White,Round Diamond 0.54,,,,,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Nature 14K Tri Color Gold Diamond Flower Earrings, 2.04 TCW",5005.0,7150.0,14K Gold,Three Tone,"Round Black Diamond 1.03, Round Diamond 0.64, Round Cognac Diamond 0.37","1.38""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Gemma Blue Sapphire and Diamond Earrings, 2.20 TCW",1350.0,2700.0,14K Gold,White,"Round Blue Sapphire 2, Round Diamond 0.2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Earrings, 11.31 TCW",3706.5,5295.0,14K Gold,White,"Marquise Blue Sapphire 5.57, Round Diamond 5.74",,,,,,,,,,,,,,,,,,,,,"1.5""",,,,,,,,Earrings,Women
"Effy Canare 14K White Gold Yellow and White Diamond Earrings, 0.67 TCW",3255.0,4650.0,14K Gold,White,"Round Yellow Diamond 0.27, Round Diamond 0.4","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Globe Drop Earrings, 6.77 TCW",9096.5,12995.0,14K Gold,White,Round Diamond 6.77,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 4.63 TCW",4515.0,6450.0,14K Gold,Yellow,"Marquise Emerald 4.35, Round Diamond 0.28","1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Earrings, 4.67 TCW",4305.0,6150.0,14K Gold,White,"Square Multi Sapphire 4.26, Round Diamond 0.41",,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Lapis Lazuli & Cultured Fresh Water Pearl Drop Earrings, 1.50 TCW",276.5,395.0,14K Gold,Yellow,"Round Pearl, Round Lapis Lazuli 1.5",,,,,,,,,,,,,,,,,,,,,,10mm,15mm,1,,,,,Earrings,Women
"Effy 14K Yellow Gold Coral and Diamond Earrings, 5.93 TCW",1470.0,2100.0,14K Gold,Yellow,"Coral 5.8, Round Diamond 0.13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"14K Rose Gold Pink Sapphire and Diamond Ribbon Earrings, 0.54 TCW",945.0,1350.0,14K Gold,Rose,"Round Pink Sapphire 0.41, Round Diamond 0.13","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Drop Earrings, 1.68 TCW",2096.5,2995.0,14K Gold,Rose,"Pear Ruby 1.42, Round Diamond 0.26","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Gemma Emerald Stud Earrings, 0.95 TCW",455.0,650.0,14K Gold,Yellow,"Round Emerald 0.95,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Earrings, 2.06 TCW",1447.5,2895.0,14K Gold,Yellow,"Oval Ruby 1.9, Round Diamond 0.16,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Splash Sterling Silver Multi Sapphire and Diamond Earrings, 2.74 TCW",696.5,995.0,Sterling Silver,N/A,"Round Multi Color 2.65, Round Diamond 0.09","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Aquarius 14K White Gold Aquamarine and Diamond Earrings, 2.80 TCW",1470.0,2100.0,14K Gold,White,"Emerald Cut Aquamarine 2.6, Round Diamond 0.2","3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Stud Earrings, 1.99 TCW",2096.5,2995.0,14K Gold,Yellow,"Oval Emerald 1.52, Round Diamond 0.47","3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Multi Sapphire Butterfly Earrings, 1.62 TCW",402.5,575.0,Sterling Silver,N/A,Round Multi Sapphire 1.62,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"14K Rose Gold Rose Quartz and Diamond Earrings, 13.05 TCW",1956.5,2795.0,14K Gold,Rose,"Trillion Rose Quartz 12.7, Round Diamond 0.35","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bordeaux 14K Yellow Gold Garnet and Diamond Earrings, 4.77 TCW",1015.0,1450.0,14K Gold,Yellow,"Oval Garnet 4.7, Round Diamond 0.07","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
