Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,Hoop Size,"Height 3/8"" x Length",Diameter,Earring,Drop Length,Earring Size,Stud Size,Top Diameter,Diamater,Gemstones, Length,Earring size,Information,"75"" Pearl Size","5"" Pearl Size", Widest Part, Stone included,"25"" Diameter",Earring Diameter,Earring Length,Pearl Size, Lapis Size, Drop Length, Onyx Size,Flower Diameter,Height,Screw Backs. Earring Diameter,Jewelry_Type,Sex
"Effy 14K Yellow Gold Onyx and Cultured Fresh Water Pearl Drop Earrings, 14.50 TCW",276.5,395.0,14K Gold,Yellow,Round Pearl,,,,,,,,,,,,,,,,,,,,,,6mm,,1,10mm,,,,Earrings,Women
"Effy Tanzanite Royale 14K Yellow Gold Tanzanite and Diamond Stud Earrings, 1.19 TCW",495.0,1195.0,14K Gold,Yellow,"Trillion Tanzanite 1.05, Round Diamond 0.14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Signature 14K Rose Gold Black Diamond & Emerald Earrings, 0.93 TCW",1925.0,2750.0,14K Gold,Rose,"Round Black Diamond 0.88, Round Emerald 0.05","3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 14K Two Tone Gold Yellow and White Diamond Earrings, 0.98 TCW",3846.5,5495.0,14K Gold,Yellow and White,Round Diamond 0.98,,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Royale Bleu 14K 2-Tone Gold Sapphire & Diamond Earrings, 1.11 TCW",3006.5,4295.0,14K Gold,Yellow and White,"Round Blue Sapphire 0.62, Round Diamond 0.29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 14K Two Tone Gold Yellow and White Diamond Heart Earrings, 0.96 TCW",3426.5,4895.0,14K Gold,Yellow and White,"Round Yellow Diamond 0.69, Round Diamond 0.27","3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Earrings, 2.63 TCW",2726.5,3895.0,14K Gold,Yellow,"Square Multi Sapphire 2.39, Round Diamond 0.24",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Nature 14K Yellow Gold Diamond Flower Earrings, 0.32 TCW",2096.5,2995.0,14K Gold,Yellow,Round Diamond 0.32,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Nature Sterling Silver & 18K Gold Diamond Flower Earrings, 0.04 TCW",647.5,925.0,Sterling Silver & 18K Gold,N/A,Round Diamond 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,"1/2""",,,Earrings,Women
"Effy Aquarius 14K White Gold Aquamarine Stud Earrings, 0.90 TCW",626.5,895.0,14K Gold,White,Round Aquamarine 0.9,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 0.72 TCW",1046.5,1495.0,14K Gold,Yellow,"Round Diamond 0.24, Round Emerald 0.48,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Pink Sapphire Splash Heart Earrings, 2.30 TCW",595.0,850.0,Sterling Silver,N/A,Round Pink Sapphire 2.30,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Seaside 14K Tri Color Gold Diamond Starfish Earrings, 0.33 TCW",1466.5,2095.0,14K Gold,Three Tone,Round Diamond 0.33,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Classica 14K Gold Diamond Pear Shaped Drop Earrings, 0.77 TCW",3496.5,4995.0,14K Gold,White,"Multi Shape Diamond 0.38,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Diamond Earrings, 0.33 TCW",295.0,550.0,Sterling Silver,N/A,Round Diamond 0.33,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Stud Earrings, 0.91 TCW",1536.5,2195.0,14K Gold,White,Round Diamond 0.91,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Mosaic Multi Gemstone Earrings, 2.88 TCW",875.0,1250.0,Sterling Silver & 18K Gold,Yellow,"Multi Shape Multi Color 2.88,1"" Diameter, 3/8"" Wide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Seaside Silver and 18K Gold Blue Topaz Starfish Earrings, 6.40 TCW",696.5,995.0,Stainless Steel & 18K Gold,Yellow,Multi Shape Blue Topaz 6.4,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Amethyst Stud Earrings, 4.25 TCW",696.5,995.0,14K Gold,Yellow,Cushion Amethyst 4.25,,,,,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver and 18K Gold Green Amethyst Earrings, 2.33 TCW",416.5,595.0,Sterling Silver & 18K Gold,Yellow,Pear Green Amethyst 2.33,"1.38""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy 925 Sterling Silver & Gold Blue Topaz Earrings,385.0,550.0,Sterling Silver & 18K Gold,Yellow,Rectangle Blue Topaz 2.19,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 1.53 TCW",1816.5,2595.0,14K Gold,Yellow,"Square Emerald 1.37, Round Diamond 0.16",,,,,,,,,,,,,,,,,,,,,,,,,,,"1/2""",,Earrings,Women
"Effy Pave Classica 14K White Gold Diamond Earrings, 0.58 TCW",2166.5,3095.0,14K Gold,White,Round Diamond 0.58,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Nature 14K Gold Ruby, Sapphire & Diamond Flowers Earrings, 1.80 TCW",3356.5,4795.0,14K Gold,Rose,"Round Multi Color 1.27, Round Diamond 0.53","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Espresso 14K Rose Gold Diamond Huggie Hoop Earrings, 1.30 TCW",3146.5,4495.0,14K Gold,Rose,Round Diamond 1.3,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Splash Sterling Silver Blue Sapphire Circle Earrings, 3.34 TCW",556.5,795.0,Sterling Silver,N/A,Round Blue Sapphire 3.34,,,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Diamond Stud Earring, 2.00 TCW",6995.0,,14K Gold,White,Round Diamond 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/4""",Earrings,Women
"Effy Seaside 14K White Gold Sapphire & Diamond Starfish Earrings, 0.71 TCW",1116.5,1595.0,14K Gold,White,"Round Blue Sapphire 0.61, Round Diamond 0.1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Turquoise Stud Earrings, 1.10 TCW",315.0,450.0,14K Gold,Yellow,Round Turquoise 1.1,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ocean Bleu 14K Gold London Blue Topaz and Diamond Earrings, 4.25 TCW",1466.5,2095.0,14K Gold,White,"Round Blue Topaz 4.05, Round Diamond 0.2","3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Mosaic 14K Yellow Gold Multi Gemstone and Diamond Earrings, 26.71 TCW",2747.5,5495.0,14K Gold,Yellow,"Multi Shape Multi Color 26.6, Round Diamond 0.11","1.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Blue Sapphire Splash Stud Earrings, 2.26 TCW",385.0,550.0,Sterling Silver,N/A,Round Blue Sapphire 2.26,,,,"5/16""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Gemma Emerald and Diamond Stud Earrings, 1.82 TCW",1537.5,3075.0,14K Gold,White,"Round Emerald 1.62, Round Diamond 0.2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Ruby Heart Earrings, 1.31 TCW",437.5,625.0,Sterling Silver,N/A,Round Ruby 1.31,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Earrings, 9.68 TCW",5876.5,8395.0,14K Gold,Yellow,"Pear Multi Sapphire 9.03, Round Diamond 0.65","1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Novelty 14K Yellow Gold Diamond Pineapple Earrings, 0.27 TCW",1326.5,1895.0,14K Gold,Yellow,Round Diamond 0.27,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Gold Multi Sapphire Mini Hoop Earrings, 0.66 TCW",945.0,1350.0,14K Gold,Yellow,Round Multi Sapphire 0.66,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Earrings, 2.15 TCW",2516.5,3595.0,14K Gold,White,"Emerald Cut Emerald 1.9, Round Diamond 0.25","3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Earrings, 1.98 TCW",1897.5,3795.0,14K Gold,White,"Emerald Emerald 1.9, Round Diamond 0.08","3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Rose Gold Diamond Cross Over Earrings, 0.60 TCW",1700.0,3400.0,14K Gold,Rose,Multi Shape Diamond 0.6,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Earrings, 4.19 TCW",4056.5,5795.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 3.4, Round Diamond 0.79","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Drop Earrings, 1.70 TCW",4896.5,6995.0,14K Gold,White,"Round Diamond 1.34, Round Black Diamond 0.36","2.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bordeaux 14K Yellow Gold Garnet and Diamond Earrings, 6.67 TCW",1956.5,2795.0,14K Gold,Yellow,"Emerald Cut Garnet 6.25, Multi Shape Diamond 0.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy 14K Yellow Gold Multi Color Cultured Pearl Earrings,206.5,295.0,14K Gold,Yellow,Round Pearl,"2.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Rose Gold Amethyst, Pink Tourmaline and Diamond Earrings, 7.04 TCW",2446.5,3495.0,14K Gold,Rose,"Emerald Cut Multi Color 6.57, Round Diamond 0.47","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ocean Bleu 14K White Gold Blue Topaz and Diamond Earrings, 4.28 TCW",1186.5,1695.0,14K Gold,White,"Pear Blue Topaz 4.15, Round Diamond 0.13","1.63""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Eclipse 14K Yellow Gold Onyx Stud Earrings, 4.80 TCW",556.5,795.0,14K Gold,Yellow,"Cushion Onyx 4.8,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Jade and Diamond Earrings, 8.09 TCW",1816.5,2595.0,14K Gold,Yellow,"Pear Jade 7.7, Round Diamond 0.39","1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Jade Stud Earrings, 18.70 TW",276.5,395.0,14K Gold,Yellow,"Round Jade 18.78,10mm Studs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Sapphire and Diamond Earrings, 0.85 TCW",625.0,1250.0,14K Gold,White,"Emerald Cut Blue Sapphire 0.76, Round Diamond 0.09",,,,,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Signature 14K Rose Gold Ruby, Black Diamond and Emerald Earrings",2197.5,4395.0,14K Gold,Rose,"Round Ruby 1.15, Round Black Diamond 0.07, Round Emerald 0.06","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Tanzanite Royale 14K Rose Gold Tanzanite & Diamond Earrings, 2.56 TCW",2236.5,3195.0,14K Gold,Rose,"Pear Tanzanite 2.24, Round Diamond 0.32","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ruby Royale 14K White Gold Ruby and Diamond Earrings, 2.03 TCW",1600.0,3200.0,14K Gold,White,"Oval Ruby 1.9, Multi Shape Diamond 0.13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Rose Gold Rhodolite Garnet and Diamond Earrings, 4.92 TCW",1597.5,3195.0,14K Gold,Rose,"Oval Garnet 4.56, Round Diamond 0.36",,,,,,,,,,,,,,,,,,,,,"5/8""",,,,,,,,Earrings,Women
"Effy 14K 2-Tone Gold Aquamarine and Diamond Drop Earrings, 3.75 TCW",1707.5,3415.0,14K Gold,Rose and White,"Pear Aquamarine 3.4, Round Diamond 0.35","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Splash Sterling Silver Multi Sapphire Circle Earrings, 3.39 TCW",556.5,795.0,Sterling Silver,N/A,Round Multi Sapphire 3.39,,,,,,,,,,,,,,,,,,,,"1/2""",,,,,,,,,Earrings,Women
"Effy Duo 14K Two Tone Gold Diamond Chain Link Hoop Earrings, 0.40 TCW",1502.5,3005.0,14K Gold,Yellow and White,Round Diamond 0.4,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Splash Sterling Silver Multi Color Sapphire Drop Earrings, 4.10 TCW",805.0,1150.0,Sterling Silver,N/A,Round Multi Color 4.1,"1.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Rose Gold Amethyst, Tanzanite and Diamond Earrings, 8.62 TCW",1326.5,1895.0,14K Gold,Rose,"Rectangle Multi Color 8.55, Round Diamond 0.07","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Splash Silver Multi Sapphire 1"" Hoop Earrings, 4.08 TCW",770.0,1100.0,Sterling Silver,N/A,"Round Multi Sapphire 4.08,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Yellow Gold Diamond Stud Earrings, .39 TCW",1175.0,2350.0,14K Gold,Yellow,"Round Diamond 0.39,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy 925 Sterling Silver and 18K Yellow Gold Accented Hoop Earrings,385.0,550.0,Sterling Silver & 18K Gold,Yellow,,,,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver and 18K Gold Green Amethyst Earrings, 3.50 TCW",556.5,795.0,Sterling Silver & 18K Gold,Yellow,Cushion Green Amethyst 3.5,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 14K 2-Tone Gold Yellow and White Diamond Earrings, 0.87 TCW",3397.5,6795.0,14K Gold,Yellow and White,Round Diamond 0.87,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Duo 14K Two Tone Gold Diamond Chain Link Hoop Earrings, 0.28 TCW",1542.5,3085.0,14K Gold,Yellow and White,Round Diamond 0.28,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Blush 14K Rose Gold Morganite and Diamond Earrings, 3.12 TCW",1995.0,2850.0,14K Gold,Rose,"Emerald Cut Morganite 2.8, Round Diamond 0.32","3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K White Gold Tanzanite and Diamond Earrings, 2.38 TCW",2375.0,4750.0,14K Gold,White,"Cushion Tanzanite 1.9, Round Diamond 0.48","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Diamond Pave Stud Earrings, 0.10 TCW",136.5,195.0,Sterling Silver,N/A,Round Diamond 0.1,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Green Amethyst and Diamond Earrings, 8.34 TCW",1116.5,1595.0,14K Gold,Yellow,"Rectangle Green Amethyst 8.3, Round Diamond 0.04","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Lagoon Sterling Silver Blue Topaz Earrings, 4.50 TCW",420.0,600.0,Sterling Silver,N/A,"Oval Blue Topaz 4.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Mosaic 14K Yellow Gold Multi Gemstone Hoop Earrings, 4.05 TCW",945.0,1350.0,14K Gold,Yellow,Oval Multi Color 4.05,,,,,,,,,,,"Amethyst, Blue Topaz, Citrine & Peridot","3/4""",,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Lagoon Amethyst Earrings, 3.04 TCW",292.5,585.0,Sterling Silver,N/A,"Oval Amethyst 3.04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Novelty 14K Yellow Gold Diamond Star Stud Earrings, 0.14 TCW",735.0,1050.0,14K Gold,Yellow,Round Diamond 0.14,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver & 18K Gold Multi Gemstone Earrings, 4.70 TCW",906.5,1295.0,Sterling Silver & 18K Gold,Yellow,Multi Shape Multi Color 4.7,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite & Diamond Earrings, 2.06 TCW",2250.0,4500.0,14K Gold,White,"Cushion Tanzanite 1.62, Round Diamond 0.44","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Espresso, Black and White Diamond Earrings, 0.94 TCW",2555.0,3650.0,14K Gold,Yellow,Round Diamond 0.94,,,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Gold Cultured Fresh Water Pearl & Diamond Earrings, 0.20 TCW",1295.0,1850.0,14K Gold,Yellow,"Round Pearl, Round Diamond 0.2","1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy 14K Yellow Gold Tahitian Pearl Earrings,206.5,295.0,14K Gold,Yellow,Round Pearl,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,Earrings,Women
Effy 14K Rose Gold Cultured Fresh Water Pearl Drop Earrings,206.5,295.0,14K Gold,Rose,Round Pearl,,,,,,,,,,,,,,,,,,,,,,3mm,,1,,,,,Earrings,Women
"Effy 14K White Gold Cultured Fresh Water Pearl & Diamond Earrings, 0.11 TCW",597.5,1195.0,14K Gold,White,"Round Pearl, Round Diamond 0.11",,,,,,,,,,,,,,,,,,,,,,8mm,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Turquoise Hoop Earrings, 3.95 TCW",1606.5,2295.0,14K Gold,Yellow,"Oval Turquoise 3.95, Round Diamond 0.05",,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Turquoise and Diamond Flower Earrings, 4.83 TCW",1816.5,2595.0,14K Gold,Yellow,"Oval Turquoise 4.7, Round Diamond 0.13","1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver & 18K Gold Blue Sapphire Hoop Earrings, 1.00 TCW",1046.5,1495.0,Sterling Silver & 18K Gold,N/A,Round Blue Sapphire 1,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Bella Bleu 14K White Gold Blue Diamond Stud Earrings, 0.53 TCW",1147.5,2295.0,14K Gold,White,"Round Blue Diamond 0.49, Round Diamond 0.04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Black and White Diamond Earrings, 1.40 TCW",2347.5,4695.0,14K Gold,White,"Round Diamond 1.4, Round Black Diamond ",1.5 Inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 18K White Gold Diamond Solitaire Stud Earrings, 0.74 TCW",1750.0,3500.0,18K Gold,White,"Round Diamond 0.74,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Topaz and Diamond Earrings, 18.21 TCW",1747.5,3495.0,14K Gold,White,"Pear Blue Topaz 18.05, Round Diamond 0.16","1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Pink Sapphire Huggie Hoops Earrings, 0.86 TCW",1046.5,1495.0,14K Gold,Yellow,"Round Pink Sapphire 0.86,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver Citrine Earrings, 4.80 TCW",282.5,565.0,Sterling Silver,N/A,Cushion Citrine 4.8,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
Effy 14K White Gold Cultured Fresh Water Pearl Drop Earrings,206.5,295.0,14K Gold,White,Round Pearl,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Hoop Earrings, 0.39 TCW",2240.0,3200.0,14K Gold,Yellow,"Round Diamond 0.39,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Seaside S. Silver Mix Gemstone & Diamond Starfish Earrings, 5.29 TCW",625.0,1250.0,Sterling Silver & 18K Gold,Yellow,"Multi Shape Multi Color 5.2, Round Diamond 0.09","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Mosaic Multi Gemstone Earrings, 1.62 TCW",432.5,865.0,Sterling Silver & 18K Gold,Yellow,"Multi Shape Multi Color 1.62,3/4"" Diameter, 3/8"" Wide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Rose Gold Pink Quartz and Diamond Earrings, 24.36 TCW",2097.5,4195.0,14K Gold,Rose,"Multi Shape Pink Quartz 23.8, Round Diamond 0.56","1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Smokey Quartz and Diamond Earrings, 4.23 TCW",537.5,1075.0,14K Gold,White,"Oval Smokey Quartz 4.15, Round Diamond 0.08","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Stud Earrings, 0.63 TCW",1300.0,2600.0,14K Gold,Yellow,Round Diamond 0.63,,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 925 Sterling Silver & 18K Gold Diamond Earrings, 0.21 TCW",600.0,1200.0,Sterling Silver & 18K Gold,N/A,Round Diamond 0.21,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Geometric Earrings, 16.25 TCW",1425.0,2850.0,14K Gold,Yellow,"Fantasy Cut Onyx 15.85, Round Diamond 0.4","1.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Diamond Huggie Hoop Earrings,0.53 TCW",1497.5,2995.0,14K Gold,White,Round Diamond 0.53,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 14K Two-Tone Gold  Yellow and White Diamond Earrings, 1.08 TCW",2695.0,3850.0,14K Gold,Yellow and White,"Round Yellow Diamond, Round Diamond ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ruby Royale 14K Yellow Gold Ruby Stud Earrings, 1.14 TCW",875.0,1250.0,14K Gold,Yellow,Round Ruby 1.14,,,,,,,,,,"1/4""",,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Earrings, 2.68 TCW",1746.5,2495.0,14K Gold,Rose,"Multi Shape Ruby 2.6, Round Diamond 0.08","7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy D'Oro 14K Yellow Gold Diamond Links Earrings, 0.32 TCW",1657.5,3315.0,14K Gold,Yellow,"Round Diamond 0.32,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Splash Sterling Silver Blue Sapphire Square Earrings, 3.56 TCW",836.5,1195.0,Sterling Silver,N/A,Round Blue Sapphire 3.56,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K White Gold Blue Sapphire & Diamond Chandelier Earrings, 8.12 TCW",4497.5,8995.0,14K Gold,White,"Multi Shape Blue Sapphire 7.51, Round Diamond 0.61","1.9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Gemma 14K Rose Gold Tanzanite and Diamond Earrings, 2.19 TCW",2250.0,4500.0,14K Gold,Rose,"Cushion Tanzanite 1.9, Round Diamond 0.29","1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy 14K Yellow Gold Diamond Huggie Hoop Earrings,0.53 TCW",1497.5,2995.0,14K Gold,Yellow,"Round Diamond 0.53,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
